Id,Title,Short description
1,Software engineer у Kyivstar.Tech,"Провідний постачальник фінансових технологій. Спеціалізуємося на розробці інноваційних рішень для управління своїми фінансами"
2,Junior Java at Protectimus,"If you are interested in joining our dynamic team and contributing to our mission, we would love to hear from you"
3,Junior Java Developer,"Quality Unit is a software development company that started in 2004 with the head office in Bratislava, Slovakia"
4,Software Developer for Software House,"Seeking Junior Software Developer to join the team and work on multiple projects simultaneously"
5,Middle Java Developer,"We are looking for a Java Developer (Fintech Startup focusing on fraud prevention in financial transactions, from scratch, Canada)"
6,Java Developer (middle) у PrivatBank,"Розробка системи управління персоналом банку. Написання коду для нового функціоналу, а також покращення старого функціоналу"
7,Middle Java Developer,"Розробка нового функціоналу,допомога в створенні архітектури"
9,Middle/Senior Java Developer,"Java developer to join the ongoing project - application for creating and pricing promotions for one of the largest European retail company"
10,Senior Java Developer,"Ізраїльська компанія Gransoft шукає в свою команду Senior Java розробника на постійну роботу для розробки та розвитку міжнародного порталу страхової медицини"
11,Senior Java Engineer,"Proxet is a custom web, mobile and software development company offering customized and tailored technology solutions to a wide range of clients"
12,Senior Node.js Developer у Devox,"Devox Software is an international IT outsourcing company with development facilities in five countries – Poland, Ukraine, Romania, Azerbaijan, Georgia"
